id,depFlight_id,depFlight_origin.name,depFlight_origin.displayCode,depFlight_destination.name,depFlight_destination.displayCode,depFlight_durationInMinutes,depFlight_departure,depFlight_arrival,depFlight_name,depFlight_flightNumber,retFlight_id,retFlight_origin.name,retFlight_origin.displayCode,retFlight_destination.name,retFlight_destination.displayCode,retFlight_durationInMinutes,retFlight_departure,retFlight_arrival,retFlight_name,retFlight_flightNumber,booking_agent,is_carrier,rating_status,rating,rating_breakdown.reliable_prices,rating_breakdown.clear_extra_fees,rating_breakdown.customer_service,rating_breakdown.ease_of_booking,rating_breakdown.other,price_amount
13771-2306021420--32356-0-9828-2306021710|9828-2306042055--32480-0-13554-2306042155,13771-2306021420--32356-0-9828-2306021710,London Luton,LTN,Berlin Brandenburg,BER,110,2023-06-02T14:20:00,2023-06-02T17:10:00,easyJet,2603,9828-2306042055--32480-0-13554-2306042155,Berlin Brandenburg,BER,London Heathrow,LHR,120,2023-06-04T20:55:00,2023-06-04T21:55:00,British Airways,995,Expedia,False,available,2.48,2.149844,3.813268,4.996316,2.260028,1.713152,511.89
13542-2306020640--32356-0-9828-2306020940|9828-2306041130--32480-0-13554-2306041235,13542-2306020640--32356-0-9828-2306020940,London Gatwick,LGW,Berlin Brandenburg,BER,120,2023-06-02T06:40:00,2023-06-02T09:40:00,easyJet,8629,9828-2306041130--32480-0-13554-2306041235,Berlin Brandenburg,BER,London Heathrow,LHR,125,2023-06-04T11:30:00,2023-06-04T12:35:00,British Airways,983,Expedia,False,available,2.48,2.149844,3.813268,4.996316,2.260028,1.713152,589.89
13554-2306020650--32480-0-9828-2306020940|9828-2306040710--32480-0-13554-2306040815,13554-2306020650--32480-0-9828-2306020940,London Heathrow,LHR,Berlin Brandenburg,BER,110,2023-06-02T06:50:00,2023-06-02T09:40:00,British Airways,990,9828-2306040710--32480-0-13554-2306040815,Berlin Brandenburg,BER,London Heathrow,LHR,125,2023-06-04T07:10:00,2023-06-04T08:15:00,British Airways,981,Worldairfares,False,available,3.6,3.649108,4.19036,5.0,4.12326,2.450304,276.48
13554-2306021030--32480-0-9828-2306021325|9828-2306041355--32480-0-13554-2306041455,13554-2306021030--32480-0-9828-2306021325,London Heathrow,LHR,Berlin Brandenburg,BER,115,2023-06-02T10:30:00,2023-06-02T13:25:00,British Airways,992,9828-2306041355--32480-0-13554-2306041455,Berlin Brandenburg,BER,London Heathrow,LHR,120,2023-06-04T13:55:00,2023-06-04T14:55:00,British Airways,993,British Airways,True,available,4.0,4.502296,4.369832,4.994948,4.32844,2.792776,531.48
13554-2306020650--32480-0-9828-2306020940|9828-2306041230--32356-0-13542-2306041335,13554-2306020650--32480-0-9828-2306020940,London Heathrow,LHR,Berlin Brandenburg,BER,110,2023-06-02T06:50:00,2023-06-02T09:40:00,British Airways,990,9828-2306041230--32356-0-13542-2306041335,Berlin Brandenburg,BER,London Gatwick,LGW,125,2023-06-04T12:30:00,2023-06-04T13:35:00,easyJet,8622,BudgetAir,False,available,3.12,3.290232,4.188584,4.737012,3.306508,1.940636,437.0
16574-2306020800--31915-0-9828-2306021040|9828-2306041355--32480-0-13554-2306041455,16574-2306020800--31915-0-9828-2306021040,London Stansted,STN,Berlin Brandenburg,BER,100,2023-06-02T08:00:00,2023-06-02T10:40:00,Ryanair,145,9828-2306041355--32480-0-13554-2306041455,Berlin Brandenburg,BER,London Heathrow,LHR,120,2023-06-04T13:55:00,2023-06-04T14:55:00,British Airways,993,GotoGate,False,available,2.81,3.252464,3.701156,4.748664,3.54438,1.008108,632.99
13554-2306021045--32480-0-9828-2306021340|9828-2306040710--32480-0-13554-2306040815,13554-2306021045--32480-0-9828-2306021340,London Heathrow,LHR,Berlin Brandenburg,BER,115,2023-06-02T10:45:00,2023-06-02T13:40:00,British Airways,992,9828-2306040710--32480-0-13554-2306040815,Berlin Brandenburg,BER,London Heathrow,LHR,125,2023-06-04T07:10:00,2023-06-04T08:15:00,British Airways,981,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,309.27
16574-2306021035--31915-0-9828-2306021315|9828-2306041355--32480-0-13554-2306041455,16574-2306021035--31915-0-9828-2306021315,London Stansted,STN,Berlin Brandenburg,BER,100,2023-06-02T10:35:00,2023-06-02T13:15:00,Ryanair,147,9828-2306041355--32480-0-13554-2306041455,Berlin Brandenburg,BER,London Heathrow,LHR,120,2023-06-04T13:55:00,2023-06-04T14:55:00,British Airways,993,GotoGate,False,available,2.81,3.252464,3.701156,4.748664,3.54438,1.008108,608.99
13554-2306020840--32480-0-9828-2306021135|9828-2306041650--32480-0-13465-2306041740,13554-2306020840--32480-0-9828-2306021135,London Heathrow,LHR,Berlin Brandenburg,BER,115,2023-06-02T08:40:00,2023-06-02T11:35:00,British Airways,982,9828-2306041650--32480-0-13465-2306041740,Berlin Brandenburg,BER,London City,LCY,110,2023-06-04T16:50:00,2023-06-04T17:40:00,British Airways,8494,British Airways,True,available,4.0,4.502296,4.369832,4.994948,4.32844,2.792776,565.98
16574-2306021035--31915-0-9828-2306021315|9828-2306041805--32356-0-13542-2306041910,16574-2306021035--31915-0-9828-2306021315,London Stansted,STN,Berlin Brandenburg,BER,100,2023-06-02T10:35:00,2023-06-02T13:15:00,Ryanair,147,9828-2306041805--32356-0-13542-2306041910,Berlin Brandenburg,BER,London Gatwick,LGW,125,2023-06-04T18:05:00,2023-06-04T19:10:00,easyJet,8626,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,338.6
13542-2306020640--32356-0-9828-2306020940|9828-2306041805--32356-0-13542-2306041910,13542-2306020640--32356-0-9828-2306020940,London Gatwick,LGW,Berlin Brandenburg,BER,120,2023-06-02T06:40:00,2023-06-02T09:40:00,easyJet,8629,9828-2306041805--32356-0-13542-2306041910,Berlin Brandenburg,BER,London Gatwick,LGW,125,2023-06-04T18:05:00,2023-06-04T19:10:00,easyJet,8626,easyJet,True,available,4.49,4.822104,4.68946,5.0,4.670344,3.769164,320.22
13542-2306020640--32356-0-9828-2306020940|9828-2306041725--32356-0-13771-2306041820,13542-2306020640--32356-0-9828-2306020940,London Gatwick,LGW,Berlin Brandenburg,BER,120,2023-06-02T06:40:00,2023-06-02T09:40:00,easyJet,8629,9828-2306041725--32356-0-13771-2306041820,Berlin Brandenburg,BER,London Luton,LTN,115,2023-06-04T17:25:00,2023-06-04T18:20:00,easyJet,2604,easyJet,True,available,4.49,4.822104,4.68946,5.0,4.670344,3.769164,320.22
16574-2306021515--31915-0-9828-2306021755|9828-2306040710--32480-0-13554-2306040815,16574-2306021515--31915-0-9828-2306021755,London Stansted,STN,Berlin Brandenburg,BER,100,2023-06-02T15:15:00,2023-06-02T17:55:00,Ryanair,176,9828-2306040710--32480-0-13554-2306040815,Berlin Brandenburg,BER,London Heathrow,LHR,125,2023-06-04T07:10:00,2023-06-04T08:15:00,British Airways,981,GotoGate,False,available,2.81,3.252464,3.701156,4.748664,3.54438,1.008108,399.99
