id,depFlight_id,depFlight_origin.name,depFlight_origin.displayCode,depFlight_destination.name,depFlight_destination.displayCode,depFlight_durationInMinutes,depFlight_departure,depFlight_arrival,depFlight_name,depFlight_flightNumber,booking_agent,is_carrier,rating_status,rating,rating_breakdown.reliable_prices,rating_breakdown.clear_extra_fees,rating_breakdown.customer_service,rating_breakdown.ease_of_booking,rating_breakdown.other,price_amount
13554-2306021130--32677-0-10413-2306021350,13554-2306021130--32677-0-10413-2306021350,London Heathrow,LHR,Paris Charles de Gaulle,CDG,80,2023-06-02T11:30:00,2023-06-02T13:50:00,Air France,1581,Trip.com,False,available,3.97,3.926652,4.503032,4.991876,4.365064,3.108212,331.2
13542-2306021245--31685-0-15083-2306021505,13542-2306021245--31685-0-15083-2306021505,London Gatwick,LGW,Paris Orly,ORY,80,2023-06-02T12:45:00,2023-06-02T15:05:00,Vueling Airlines,8947,Trip.com,False,available,3.97,3.926652,4.503032,4.991876,4.365064,3.108212,64.0
13542-2306020800--32356-0-10413-2306021020,13542-2306020800--32356-0-10413-2306021020,London Gatwick,LGW,Paris Charles de Gaulle,CDG,80,2023-06-02T08:00:00,2023-06-02T10:20:00,easyJet,8403,easyJet,True,available,4.55,4.844676,4.7277,5.0,4.7161,3.903392,80.99
13554-2306021530--32677-0-10413-2306021750,13554-2306021530--32677-0-10413-2306021750,London Heathrow,LHR,Paris Charles de Gaulle,CDG,80,2023-06-02T15:30:00,2023-06-02T17:50:00,Air France,1781,Trip.com,False,available,3.97,3.926652,4.503032,4.991876,4.365064,3.108212,136.4
13542-2306021940--32480-0-15083-2306022200,13542-2306021940--32480-0-15083-2306022200,London Gatwick,LGW,Paris Orly,ORY,80,2023-06-02T19:40:00,2023-06-02T22:00:00,British Airways,8117,Lycafly,False,available,3.65,3.390208,4.427284,5.0,4.040316,2.7401,142.32
13771-2306021900--32356-0-10413-2306022120,13771-2306021900--32356-0-10413-2306022120,London Luton,LTN,Paris Charles de Gaulle,CDG,80,2023-06-02T19:00:00,2023-06-02T21:20:00,easyJet,2439,easyJet,True,available,4.55,4.844676,4.7277,5.0,4.7161,3.903392,38.99
13771-2306020605--32356-0-10413-2306020825,13771-2306020605--32356-0-10413-2306020825,London Luton,LTN,Paris Charles de Gaulle,CDG,80,2023-06-02T06:05:00,2023-06-02T08:25:00,easyJet,2433,easyJet,True,available,4.55,4.844676,4.7277,5.0,4.7161,3.903392,64.99
13554-2306021735--32677-0-10413-2306021955,13554-2306021735--32677-0-10413-2306021955,London Heathrow,LHR,Paris Charles de Gaulle,CDG,80,2023-06-02T17:35:00,2023-06-02T19:55:00,Air France,1281,Trip.com,False,available,3.97,3.926652,4.503032,4.991876,4.365064,3.108212,146.9
13554-2306020900--32677-0-10413-2306021120,13554-2306020900--32677-0-10413-2306021120,London Heathrow,LHR,Paris Charles de Gaulle,CDG,80,2023-06-02T09:00:00,2023-06-02T11:20:00,Air France,1681,Trip.com,False,available,3.97,3.926652,4.503032,4.991876,4.365064,3.108212,208.2
13554-2306020705--32480-0-10413-2306020920,13554-2306020705--32480-0-10413-2306020920,London Heathrow,LHR,Paris Charles de Gaulle,CDG,75,2023-06-02T07:05:00,2023-06-02T09:20:00,British Airways,304,Trip.com,False,available,3.97,3.926652,4.503032,4.991876,4.365064,3.108212,108.4
