id,depFlight_id,depFlight_origin.name,depFlight_origin.displayCode,depFlight_destination.name,depFlight_destination.displayCode,depFlight_durationInMinutes,depFlight_departure,depFlight_arrival,depFlight_name,depFlight_flightNumber,booking_agent,is_carrier,rating_status,rating,rating_breakdown.reliable_prices,rating_breakdown.clear_extra_fees,rating_breakdown.customer_service,rating_breakdown.ease_of_booking,rating_breakdown.other,price_amount
13465-2306021325--32480-0-9828-2306021605,13465-2306021325--32480-0-9828-2306021605,London City,LCY,Berlin Brandenburg,BER,100,2023-06-02T13:25:00,2023-06-02T16:05:00,British Airways,8493,travelup,False,available,3.61,3.742976,4.370996,4.9029,3.8953,2.52592,136.43
13542-2306020640--32356-0-9828-2306020940,13542-2306020640--32356-0-9828-2306020940,London Gatwick,LGW,Berlin Brandenburg,BER,120,2023-06-02T06:40:00,2023-06-02T09:40:00,easyJet,8629,easyJet,True,available,4.56,4.822284,4.738864,5.0,4.720652,3.945756,75.99
13542-2306020845--32356-0-9828-2306021145,13542-2306020845--32356-0-9828-2306021145,London Gatwick,LGW,Berlin Brandenburg,BER,120,2023-06-02T08:45:00,2023-06-02T11:45:00,easyJet,8623,easyJet,True,available,4.56,4.822284,4.738864,5.0,4.720652,3.945756,165.99
13554-2306021640--32480-0-9828-2306021935,13554-2306021640--32480-0-9828-2306021935,London Heathrow,LHR,Berlin Brandenburg,BER,115,2023-06-02T16:40:00,2023-06-02T19:35:00,British Airways,986,travelup,False,available,3.61,3.742976,4.370996,4.9029,3.8953,2.52592,151.49
13465-2306020825--32480-0-9828-2306021110,13465-2306020825--32480-0-9828-2306021110,London City,LCY,Berlin Brandenburg,BER,105,2023-06-02T08:25:00,2023-06-02T11:10:00,British Airways,8491,travelup,False,available,3.61,3.742976,4.370996,4.9029,3.8953,2.52592,119.43
13554-2306020650--32480-0-9828-2306020940,13554-2306020650--32480-0-9828-2306020940,London Heathrow,LHR,Berlin Brandenburg,BER,110,2023-06-02T06:50:00,2023-06-02T09:40:00,British Airways,990,travelup,False,available,3.61,3.742976,4.370996,4.9029,3.8953,2.52592,128.47
16574-2306021035--31915-0-9828-2306021315,16574-2306021035--31915-0-9828-2306021315,London Stansted,STN,Berlin Brandenburg,BER,100,2023-06-02T10:35:00,2023-06-02T13:15:00,Ryanair,147,eDreams,False,available,2.58,2.73818,3.788832,4.932356,2.727892,1.13652,88.0
13554-2306021310--32480-0-9828-2306021600,13554-2306021310--32480-0-9828-2306021600,London Heathrow,LHR,Berlin Brandenburg,BER,110,2023-06-02T13:10:00,2023-06-02T16:00:00,British Airways,984,travelup,False,available,3.61,3.742976,4.370996,4.9029,3.8953,2.52592,209.81
16574-2306021525--31915-0-9828-2306021805,16574-2306021525--31915-0-9828-2306021805,London Stansted,STN,Berlin Brandenburg,BER,100,2023-06-02T15:25:00,2023-06-02T18:05:00,Ryanair,176,eDreams,False,available,2.58,2.73818,3.788832,4.932356,2.727892,1.13652,66.0
13554-2306021030--32480-0-9828-2306021325,13554-2306021030--32480-0-9828-2306021325,London Heathrow,LHR,Berlin Brandenburg,BER,115,2023-06-02T10:30:00,2023-06-02T13:25:00,British Airways,992,travelup,False,available,3.61,3.742976,4.370996,4.9029,3.8953,2.52592,155.49
