id,depFlight_id,depFlight_origin.name,depFlight_origin.displayCode,depFlight_destination.name,depFlight_destination.displayCode,depFlight_durationInMinutes,depFlight_departure,depFlight_arrival,depFlight_name,depFlight_flightNumber,booking_agent,is_carrier,rating_status,rating,rating_breakdown.reliable_prices,rating_breakdown.clear_extra_fees,rating_breakdown.customer_service,rating_breakdown.ease_of_booking,rating_breakdown.other,price_amount
13554-2306021040--32480-0-10202-2306021420,13554-2306021040--32480-0-10202-2306021420,London Heathrow,LHR,Budapest,BUD,160,2023-06-02T10:40:00,2023-06-02T14:20:00,British Airways,868,Worldairfares,False,available,3.6,3.649108,4.19036,5.0,4.12326,2.450304,162.68
13542-2306021340--31669-0-10202-2306021705,13542-2306021340--31669-0-10202-2306021705,London Gatwick,LGW,Budapest,BUD,145,2023-06-02T13:40:00,2023-06-02T17:05:00,Wizz Air,2222,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,87.2
13554-2306022130--32480-0-10202-2306030100,13554-2306022130--32480-0-10202-2306030100,London Heathrow,LHR,Budapest,BUD,150,2023-06-02T21:30:00,2023-06-03T01:00:00,British Airways,870,Worldairfares,False,available,3.6,3.649108,4.19036,5.0,4.12326,2.450304,103.68
16574-2306021615--31915-0-10202-2306021940,16574-2306021615--31915-0-10202-2306021940,London Stansted,STN,Budapest,BUD,145,2023-06-02T16:15:00,2023-06-02T19:40:00,Ryanair,1658,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,51.0
16574-2306021830--31915-0-10202-2306022155,16574-2306021830--31915-0-10202-2306022155,London Stansted,STN,Budapest,BUD,145,2023-06-02T18:30:00,2023-06-02T21:55:00,Ryanair,2518,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,59.3
13554-2306020810--32480-0-10202-2306021155,13554-2306020810--32480-0-10202-2306021155,London Heathrow,LHR,Budapest,BUD,165,2023-06-02T08:10:00,2023-06-02T11:55:00,British Airways,866,Worldairfares,False,available,3.6,3.649108,4.19036,5.0,4.12326,2.450304,166.68
13542-2306020735--32356-0-10202-2306021110,13542-2306020735--32356-0-10202-2306021110,London Gatwick,LGW,Budapest,BUD,155,2023-06-02T07:35:00,2023-06-02T11:10:00,easyJet,8731,easyJet,True,available,4.49,4.822104,4.68946,5.0,4.670344,3.769164,88.99
16574-2306021330--31915-0-10202-2306021655,16574-2306021330--31915-0-10202-2306021655,London Stansted,STN,Budapest,BUD,145,2023-06-02T13:30:00,2023-06-02T16:55:00,Ryanair,2516,Kiwi.com,False,available,3.16,3.373228,4.040836,4.935496,3.461372,1.828884,49.0
13771-2306022000--31669-0-10202-2306022330,13771-2306022000--31669-0-10202-2306022330,London Luton,LTN,Budapest,BUD,150,2023-06-02T20:00:00,2023-06-02T23:30:00,Wizz Air,2208,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,70.2
16574-2306022000--31915-0-10202-2306022325,16574-2306022000--31915-0-10202-2306022325,London Stansted,STN,Budapest,BUD,145,2023-06-02T20:00:00,2023-06-02T23:25:00,Ryanair,3717,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,33.0
