id,depFlight_id,depFlight_origin.name,depFlight_origin.displayCode,depFlight_destination.name,depFlight_destination.displayCode,depFlight_durationInMinutes,depFlight_departure,depFlight_arrival,depFlight_name,depFlight_flightNumber,retFlight_id,retFlight_origin.name,retFlight_origin.displayCode,retFlight_destination.name,retFlight_destination.displayCode,retFlight_durationInMinutes,retFlight_departure,retFlight_arrival,retFlight_name,retFlight_flightNumber,booking_agent,is_carrier,rating_status,rating,rating_breakdown.reliable_prices,rating_breakdown.clear_extra_fees,rating_breakdown.customer_service,rating_breakdown.ease_of_booking,rating_breakdown.other,price_amount
13542-2306021340--31669-0-10202-2306021705|10202-2306042140--32356-0-13542-2306042320,13542-2306021340--31669-0-10202-2306021705,London Gatwick,LGW,Budapest,BUD,145,2023-06-02T13:40:00,2023-06-02T17:05:00,Wizz Air,2222,10202-2306042140--32356-0-13542-2306042320,Budapest,BUD,London Gatwick,LGW,160,2023-06-04T21:40:00,2023-06-04T23:20:00,easyJet,8736,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,302.1
13542-2306021340--31669-0-10202-2306021705|10202-2306041755--32480-0-13554-2306041935,13542-2306021340--31669-0-10202-2306021705,London Gatwick,LGW,Budapest,BUD,145,2023-06-02T13:40:00,2023-06-02T17:05:00,Wizz Air,2222,10202-2306041755--32480-0-13554-2306041935,Budapest,BUD,London Heathrow,LHR,160,2023-06-04T17:55:00,2023-06-04T19:35:00,British Airways,875,lastminute.com,False,available,3.19,3.458948,4.154988,4.958956,3.172348,2.002892,389.98
13554-2306021040--32480-0-10202-2306021420|10202-2306042140--32356-0-13542-2306042320,13554-2306021040--32480-0-10202-2306021420,London Heathrow,LHR,Budapest,BUD,160,2023-06-02T10:40:00,2023-06-02T14:20:00,British Airways,868,10202-2306042140--32356-0-13542-2306042320,Budapest,BUD,London Gatwick,LGW,160,2023-06-04T21:40:00,2023-06-04T23:20:00,easyJet,8736,lastminute.com,False,available,3.19,3.458948,4.154988,4.958956,3.172348,2.002892,411.98
13554-2306022130--32480-0-10202-2306030100|10202-2306041740--31669-0-13771-2306041920,13554-2306022130--32480-0-10202-2306030100,London Heathrow,LHR,Budapest,BUD,150,2023-06-02T21:30:00,2023-06-03T01:00:00,British Airways,870,10202-2306041740--31669-0-13771-2306041920,Budapest,BUD,London Luton,LTN,160,2023-06-04T17:40:00,2023-06-04T19:20:00,Wizz Air,2207,BudgetAir,False,available,3.12,3.290232,4.188584,4.737012,3.306508,1.940636,284.0
13542-2306020735--32356-0-10202-2306021110|10202-2306040725--32480-0-13554-2306040915,13542-2306020735--32356-0-10202-2306021110,London Gatwick,LGW,Budapest,BUD,155,2023-06-02T07:35:00,2023-06-02T11:10:00,easyJet,8731,10202-2306040725--32480-0-13554-2306040915,Budapest,BUD,London Heathrow,LHR,170,2023-06-04T07:25:00,2023-06-04T09:15:00,British Airways,865,lastminute.com,False,available,3.19,3.458948,4.154988,4.958956,3.172348,2.002892,396.99
13554-2306021040--32480-0-10202-2306021420|10202-2306040745--31915-0-16574-2306040920,13554-2306021040--32480-0-10202-2306021420,London Heathrow,LHR,Budapest,BUD,160,2023-06-02T10:40:00,2023-06-02T14:20:00,British Airways,868,10202-2306040745--31915-0-16574-2306040920,Budapest,BUD,London Stansted,STN,155,2023-06-04T07:45:00,2023-06-04T09:20:00,Ryanair,2515,eDreams,False,available,2.52,2.768108,3.758244,4.929244,2.447704,1.163112,262.5
13542-2306021340--31669-0-10202-2306021705|10202-2306040745--31915-0-16574-2306040920,13542-2306021340--31669-0-10202-2306021705,London Gatwick,LGW,Budapest,BUD,145,2023-06-02T13:40:00,2023-06-02T17:05:00,Wizz Air,2222,10202-2306040745--31915-0-16574-2306040920,Budapest,BUD,London Stansted,STN,155,2023-06-04T07:45:00,2023-06-04T09:20:00,Ryanair,2515,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,185.0
16574-2306021330--31915-0-10202-2306021655|10202-2306041755--32480-0-13554-2306041935,16574-2306021330--31915-0-10202-2306021655,London Stansted,STN,Budapest,BUD,145,2023-06-02T13:30:00,2023-06-02T16:55:00,Ryanair,2516,10202-2306041755--32480-0-13554-2306041935,Budapest,BUD,London Heathrow,LHR,160,2023-06-04T17:55:00,2023-06-04T19:35:00,British Airways,875,BudgetAir,False,available,3.12,3.290232,4.188584,4.737012,3.306508,1.940636,335.0
13554-2306021040--32480-0-10202-2306021420|10202-2306041235--32480-0-13554-2306041415,13554-2306021040--32480-0-10202-2306021420,London Heathrow,LHR,Budapest,BUD,160,2023-06-02T10:40:00,2023-06-02T14:20:00,British Airways,868,10202-2306041235--32480-0-13554-2306041415,Budapest,BUD,London Heathrow,LHR,160,2023-06-04T12:35:00,2023-06-04T14:15:00,British Airways,867,Worldairfares,False,available,3.6,3.649108,4.19036,5.0,4.12326,2.450304,529.28
16574-2306021330--31915-0-10202-2306021655|10202-2306042140--32356-0-13542-2306042320,16574-2306021330--31915-0-10202-2306021655,London Stansted,STN,Budapest,BUD,145,2023-06-02T13:30:00,2023-06-02T16:55:00,Ryanair,2516,10202-2306042140--32356-0-13542-2306042320,Budapest,BUD,London Gatwick,LGW,160,2023-06-04T21:40:00,2023-06-04T23:20:00,easyJet,8736,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,260.3
