id,depFlight_id,depFlight_origin.name,depFlight_origin.displayCode,depFlight_destination.name,depFlight_destination.displayCode,depFlight_durationInMinutes,depFlight_departure,depFlight_arrival,depFlight_name,depFlight_flightNumber,retFlight_id,retFlight_origin.name,retFlight_origin.displayCode,retFlight_destination.name,retFlight_destination.displayCode,retFlight_durationInMinutes,retFlight_departure,retFlight_arrival,retFlight_name,retFlight_flightNumber,booking_agent,is_carrier,rating_status,rating,rating_breakdown.reliable_prices,rating_breakdown.clear_extra_fees,rating_breakdown.customer_service,rating_breakdown.ease_of_booking,rating_breakdown.other,price_amount
16574-2306020725--31915-0-13577-2306021015|13577-2306041535--31915-0-16574-2306041820,16574-2306020725--31915-0-13577-2306021015,London Stansted,STN,Lisbon,LIS,170,2023-06-02T07:25:00,2023-06-02T10:15:00,Ryanair,1080,13577-2306041535--31915-0-16574-2306041820,Lisbon,LIS,London Stansted,STN,165,2023-06-04T15:35:00,2023-06-04T18:20:00,Ryanair,1885,Trip.com,False,available,3.87,3.80264,4.428068,4.994016,4.267324,2.99226,319.5
13771-2306021225--32356-0-13577-2306021515|13577-2306041845--32480-0-13554-2306042125,13771-2306021225--32356-0-13577-2306021515,London Luton,LTN,Lisbon,LIS,170,2023-06-02T12:25:00,2023-06-02T15:15:00,easyJet,2461,13577-2306041845--32480-0-13554-2306042125,Lisbon,LIS,London Heathrow,LHR,160,2023-06-04T18:45:00,2023-06-04T21:25:00,British Airways,503,Expedia,False,available,2.47,2.163072,3.817048,4.996252,2.167228,1.720812,635.69
13554-2306021245--32480-0-13577-2306021535|13577-2306041615--32356-0-13771-2306041855,13554-2306021245--32480-0-13577-2306021535,London Heathrow,LHR,Lisbon,LIS,170,2023-06-02T12:45:00,2023-06-02T15:35:00,British Airways,518,13577-2306041615--32356-0-13771-2306041855,Lisbon,LIS,London Luton,LTN,160,2023-06-04T16:15:00,2023-06-04T18:55:00,easyJet,2462,Expedia,False,available,2.47,2.163072,3.817048,4.996252,2.167228,1.720812,632.59
13554-2306021845--31781-0-13577-2306022125|13577-2306042045--31915-0-16574-2306042330,13554-2306021845--31781-0-13577-2306022125,London Heathrow,LHR,Lisbon,LIS,160,2023-06-02T18:45:00,2023-06-02T21:25:00,TAP Air Portugal,1357,13577-2306042045--31915-0-16574-2306042330,Lisbon,LIS,London Stansted,STN,165,2023-06-04T20:45:00,2023-06-04T23:30:00,Ryanair,1887,Trip.com,False,available,3.87,3.80264,4.428068,4.994016,4.267324,2.99226,405.2
13542-2306022000--32356-0-13577-2306022250|13577-2306040610--31915-0-16574-2306040855,13542-2306022000--32356-0-13577-2306022250,London Gatwick,LGW,Lisbon,LIS,170,2023-06-02T20:00:00,2023-06-02T22:50:00,easyJet,8515,13577-2306040610--31915-0-16574-2306040855,Lisbon,LIS,London Stansted,STN,165,2023-06-04T06:10:00,2023-06-04T08:55:00,Ryanair,1081,Trip.com,False,available,3.87,3.80264,4.428068,4.994016,4.267324,2.99226,271.2
13554-2306020600--31781-0-13577-2306020840|13577-2306041615--32356-0-13771-2306041855,13554-2306020600--31781-0-13577-2306020840,London Heathrow,LHR,Lisbon,LIS,160,2023-06-02T06:00:00,2023-06-02T08:40:00,TAP Air Portugal,1363,13577-2306041615--32356-0-13771-2306041855,Lisbon,LIS,London Luton,LTN,160,2023-06-04T16:15:00,2023-06-04T18:55:00,easyJet,2462,Trip.com,False,available,3.87,3.80264,4.428068,4.994016,4.267324,2.99226,386.0
13554-2306020730--32480-0-13577-2306021015|13577-2306041505--31781-0-13554-2306041745,13554-2306020730--32480-0-13577-2306021015,London Heathrow,LHR,Lisbon,LIS,165,2023-06-02T07:30:00,2023-06-02T10:15:00,British Airways,500,13577-2306041505--31781-0-13554-2306041745,Lisbon,LIS,London Heathrow,LHR,160,2023-06-04T15:05:00,2023-06-04T17:45:00,TAP Air Portugal,1350,GotoGate,False,available,2.77,3.213312,3.655752,4.756368,3.451424,1.0,711.99
13542-2306021710--32356-0-13577-2306022000|13577-2306040720--32480-0-13554-2306041005,13542-2306021710--32356-0-13577-2306022000,London Gatwick,LGW,Lisbon,LIS,170,2023-06-02T17:10:00,2023-06-02T20:00:00,easyJet,8517,13577-2306040720--32480-0-13554-2306041005,Lisbon,LIS,London Heathrow,LHR,165,2023-06-04T07:20:00,2023-06-04T10:05:00,British Airways,499,Expedia,False,available,2.47,2.163072,3.817048,4.996252,2.167228,1.720812,661.69
13554-2306020730--32480-0-13577-2306021015|13577-2306041145--31915-0-16574-2306041430,13554-2306020730--32480-0-13577-2306021015,London Heathrow,LHR,Lisbon,LIS,165,2023-06-02T07:30:00,2023-06-02T10:15:00,British Airways,500,13577-2306041145--31915-0-16574-2306041430,Lisbon,LIS,London Stansted,STN,165,2023-06-04T11:45:00,2023-06-04T14:30:00,Ryanair,1883,GotoGate,False,available,2.77,3.213312,3.655752,4.756368,3.451424,1.0,441.99
13771-2306021825--31669-0-13577-2306022115|13577-2306041535--31915-0-16574-2306041820,13771-2306021825--31669-0-13577-2306022115,London Luton,LTN,Lisbon,LIS,170,2023-06-02T18:25:00,2023-06-02T21:15:00,Wizz Air,4493,13577-2306041535--31915-0-16574-2306041820,Lisbon,LIS,London Stansted,STN,165,2023-06-04T15:35:00,2023-06-04T18:20:00,Ryanair,1885,Kiwi.com,False,available,3.12,3.349652,4.017188,4.928092,3.390528,1.7922,298.0
