id,depFlight_id,depFlight_origin.name,depFlight_origin.displayCode,depFlight_destination.name,depFlight_destination.displayCode,depFlight_durationInMinutes,depFlight_departure,depFlight_arrival,depFlight_name,depFlight_flightNumber,booking_agent,is_carrier,rating_status,rating,rating_breakdown.reliable_prices,rating_breakdown.clear_extra_fees,rating_breakdown.customer_service,rating_breakdown.ease_of_booking,rating_breakdown.other,price_amount
13542-2306021540--32356-0-11493-2306021915,13542-2306021540--32356-0-11493-2306021915,London Gatwick,LGW,Rome Fiumicino,FCO,155,2023-06-02T15:40:00,2023-06-02T19:15:00,easyJet,8327,easyJet,True,available,4.54,4.843132,4.725236,5.0,4.70932,3.88048,113.99
13542-2306021505--32480-0-11493-2306021840,13542-2306021505--32480-0-11493-2306021840,London Gatwick,LGW,Rome Fiumicino,FCO,155,2023-06-02T15:05:00,2023-06-02T18:40:00,British Airways,8053,Trip.com,False,available,3.96,3.907176,4.494132,4.991332,4.354064,3.08778,145.66
13542-2306020930--31685-0-11493-2306021310,13542-2306020930--31685-0-11493-2306021310,London Gatwick,LGW,Rome Fiumicino,FCO,160,2023-06-02T09:30:00,2023-06-02T13:10:00,Vueling Airlines,6229,Trip.com,False,available,3.96,3.907176,4.494132,4.991332,4.354064,3.08778,119.7
13542-2306022110--30596-0-11493-2306030045,13542-2306022110--30596-0-11493-2306030045,London Gatwick,LGW,Rome Fiumicino,FCO,155,2023-06-02T21:10:00,2023-06-03T00:45:00,Wizz Air Malta,2700,Trip.com,False,available,3.96,3.907176,4.494132,4.991332,4.354064,3.08778,47.9
13554-2306021150--32480-0-11493-2306021525,13554-2306021150--32480-0-11493-2306021525,London Heathrow,LHR,Rome Fiumicino,FCO,155,2023-06-02T11:50:00,2023-06-02T15:25:00,British Airways,560,Trip.com,False,available,3.96,3.907176,4.494132,4.991332,4.354064,3.08778,338.48
13542-2306022050--31685-0-11493-2306030015,13542-2306022050--31685-0-11493-2306030015,London Gatwick,LGW,Rome Fiumicino,FCO,145,2023-06-02T20:50:00,2023-06-03T00:15:00,Vueling Airlines,6227,Trip.com,False,available,3.96,3.907176,4.494132,4.991332,4.354064,3.08778,68.8
16574-2306021745--31915-0-10525-2306022110,16574-2306021745--31915-0-10525-2306022110,London Stansted,STN,Rome Ciampino,CIA,145,2023-06-02T17:45:00,2023-06-02T21:10:00,Ryanair,3002,BudgetAir,False,available,3.15,3.271864,4.203684,4.737116,3.39428,1.99294,63.0
13542-2306021100--30596-0-11493-2306021435,13542-2306021100--30596-0-11493-2306021435,London Gatwick,LGW,Rome Fiumicino,FCO,155,2023-06-02T11:00:00,2023-06-02T14:35:00,Wizz Air Malta,5781,Trip.com,False,available,3.96,3.907176,4.494132,4.991332,4.354064,3.08778,70.9
16574-2306020615--31915-0-10525-2306020940,16574-2306020615--31915-0-10525-2306020940,London Stansted,STN,Rome Ciampino,CIA,145,2023-06-02T06:15:00,2023-06-02T09:40:00,Ryanair,2455,BudgetAir,False,available,3.15,3.271864,4.203684,4.737116,3.39428,1.99294,78.0
16574-2306020700--32174-0-11493-2306021020,16574-2306020700--32174-0-11493-2306021020,London Stansted,STN,Rome Fiumicino,FCO,140,2023-06-02T07:00:00,2023-06-02T10:20:00,Jet2,1543,Jet2,True,available,3.59,4.43004,4.261164,5.0,3.909336,1.749112,90.0
13542-2306022110--31669-0-11493-2306030045,13542-2306022110--31669-0-11493-2306030045,London Gatwick,LGW,Rome Fiumicino,FCO,155,2023-06-02T21:10:00,2023-06-03T00:45:00,Wizz Air,2700,Booking.com,False,available,3.92,3.912584,4.402692,4.990044,4.304444,3.086272,50.99
16574-2306020840--31915-0-10525-2306021205,16574-2306020840--31915-0-10525-2306021205,London Stansted,STN,Rome Ciampino,CIA,145,2023-06-02T08:40:00,2023-06-02T12:05:00,Ryanair,2510,BudgetAir,False,available,3.15,3.271864,4.203684,4.737116,3.39428,1.99294,70.0
13542-2306020640--32356-0-11493-2306021015,13542-2306020640--32356-0-11493-2306021015,London Gatwick,LGW,Rome Fiumicino,FCO,155,2023-06-02T06:40:00,2023-06-02T10:15:00,easyJet,8323,easyJet,True,available,4.54,4.843132,4.725236,5.0,4.70932,3.88048,137.99
13554-2306021035--32480-0-11493-2306021420,13554-2306021035--32480-0-11493-2306021420,London Heathrow,LHR,Rome Fiumicino,FCO,165,2023-06-02T10:35:00,2023-06-02T14:20:00,British Airways,546,eDreams,False,available,2.53,2.728716,3.747564,4.93366,2.5529,1.143896,295.69
13542-2306020850--32356-0-11493-2306021225,13542-2306020850--32356-0-11493-2306021225,London Gatwick,LGW,Rome Fiumicino,FCO,155,2023-06-02T08:50:00,2023-06-02T12:25:00,easyJet,8325,easyJet,True,available,4.54,4.843132,4.725236,5.0,4.70932,3.88048,164.99
13554-2306020630--32480-0-11493-2306021005,13554-2306020630--32480-0-11493-2306021005,London Heathrow,LHR,Rome Fiumicino,FCO,155,2023-06-02T06:30:00,2023-06-02T10:05:00,British Airways,552,Trip.com,False,available,3.96,3.907176,4.494132,4.991332,4.354064,3.08778,246.18
13542-2306020930--32480-0-11493-2306021310,13542-2306020930--32480-0-11493-2306021310,London Gatwick,LGW,Rome Fiumicino,FCO,160,2023-06-02T09:30:00,2023-06-02T13:10:00,British Airways,8057,Trip.com,False,available,3.96,3.907176,4.494132,4.991332,4.354064,3.08778,179.87
13542-2306021100--31669-0-11493-2306021435,13542-2306021100--31669-0-11493-2306021435,London Gatwick,LGW,Rome Fiumicino,FCO,155,2023-06-02T11:00:00,2023-06-02T14:35:00,Wizz Air,5781,Booking.com,False,available,3.92,3.912584,4.402692,4.990044,4.304444,3.086272,73.99
13554-2306021410--32480-0-11493-2306021750,13554-2306021410--32480-0-11493-2306021750,London Heathrow,LHR,Rome Fiumicino,FCO,160,2023-06-02T14:10:00,2023-06-02T17:50:00,British Airways,556,Trip.com,False,available,3.96,3.907176,4.494132,4.991332,4.354064,3.08778,321.68
13542-2306022050--32480-0-11493-2306030015,13542-2306022050--32480-0-11493-2306030015,London Gatwick,LGW,Rome Fiumicino,FCO,145,2023-06-02T20:50:00,2023-06-03T00:15:00,British Airways,8055,Trip.com,False,available,3.96,3.907176,4.494132,4.991332,4.354064,3.08778,127.87
